latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-13.33947,131.65634,319.23,2.87,1.62,2021-08-13,0100,T,67,6.1NRT,302.29,36.88,D
-13.39578,131.88504,315.46,2.75,1.59,2021-08-13,0100,T,16,6.1NRT,300.69,22.24,D
-13.38284,131.64847,320.35,2.87,1.62,2021-08-13,0100,T,67,6.1NRT,301.69,41.23,D
-13.49341,131.83449,323.22,2.76,1.59,2021-08-13,0100,T,74,6.1NRT,302,49.41,D
-13.49796,131.85982,319.22,2.75,1.59,2021-08-13,0100,T,65,6.1NRT,301.33,32.46,D
-15.17929,142.37634,319.49,1.24,1.11,2021-08-13,0100,T,71,6.1NRT,300.86,9.54,D
-15.12109,141.70499,324.31,1.15,1.07,2021-08-13,0100,T,63,6.1NRT,303.61,13.54,D
-15.12251,141.71558,325.48,1.15,1.07,2021-08-13,0100,T,64,6.1NRT,301.69,15.31,D
-13.71031,132.21536,322.15,2.56,1.54,2021-08-13,0100,T,29,6.1NRT,303.78,37.41,D
-13.71437,132.23877,327.66,2.55,1.54,2021-08-13,0100,T,70,6.1NRT,303.73,62.44,D
-13.72409,132.21298,320.07,2.56,1.54,2021-08-13,0100,T,42,6.1NRT,303.2,28.46,D
-13.72818,132.23676,324.75,2.55,1.54,2021-08-13,0100,T,69,6.1NRT,303.61,48.69,D
-13.70625,132.23346,324.22,2.55,1.54,2021-08-13,0100,T,75,6.1NRT,303.12,50.83,D
-13.72001,132.23109,327.76,2.55,1.54,2021-08-13,0100,T,76,6.1NRT,304.55,61.81,D
-13.73383,132.22911,320.62,2.55,1.54,2021-08-13,0100,T,52,6.1NRT,303.31,29.78,D
-15.39904,141.79968,324.51,1.17,1.07,2021-08-13,0100,T,78,6.1NRT,303.89,12.15,D
-16.28979,144.4462,315.79,1.77,1.3,2021-08-13,0100,T,56,6.1NRT,293.53,19.19,D
-14.25165,130.22578,312.72,3.53,1.77,2021-08-13,0100,T,40,6.1NRT,297.38,28.09,D
-15.32889,134.29369,329.58,1.67,1.27,2021-08-13,0100,T,81,6.1NRT,304.06,38.33,D
-15.34018,134.29126,326.66,1.67,1.27,2021-08-13,0100,T,78,6.1NRT,305.37,30.91,D
-15.36903,134.26343,321.36,1.67,1.27,2021-08-13,0100,T,46,6.1NRT,305.16,17.62,D
-16.04939,136.81702,342.75,1.14,1.06,2021-08-13,0100,T,90,6.1NRT,303.29,45.97,D
-16.05108,136.82758,330.78,1.14,1.06,2021-08-13,0100,T,81,6.1NRT,303.71,23.08,D
-16.05893,136.81544,323.96,1.14,1.06,2021-08-13,0100,T,72,6.1NRT,302.72,15.08,D
-16.06061,136.82599,328.91,1.14,1.06,2021-08-13,0100,T,79,6.1NRT,305.2,21.42,D
-16.06744,136.36955,324.4,1.2,1.09,2021-08-13,0100,T,67,6.1NRT,305.8,13.27,D
-16.06828,136.36288,329.86,1.2,1.09,2021-08-13,0100,T,80,6.1NRT,305.76,20.62,D
-16.07008,136.37396,327.79,1.2,1.09,2021-08-13,0100,T,77,6.1NRT,305.59,17.96,D
-16.07805,136.36128,324.42,1.2,1.09,2021-08-13,0100,T,73,6.1NRT,304.79,13.48,D
-16.07985,136.37236,339.73,1.2,1.09,2021-08-13,0100,T,88,6.1NRT,305.91,40.66,D
-16.08166,136.38351,332.61,1.2,1.09,2021-08-13,0100,T,83,6.1NRT,305.8,26.23,D
-16.2985,136.01485,324.15,1.24,1.11,2021-08-13,0102,T,63,6.1NRT,306.73,14.42,D
-15.70949,130.54182,316.05,3.13,1.68,2021-08-13,0102,T,19,6.1NRT,299.65,32.01,D
-15.72436,130.53831,320.3,3.13,1.68,2021-08-13,0102,T,64,6.1NRT,300.94,52.82,D
-15.72231,130.53258,321.4,3.13,1.68,2021-08-13,0102,T,73,6.1NRT,300.86,63.25,D
-17.69356,138.63377,327.93,1,1,2021-08-13,0102,T,80,6.1NRT,300.35,15.14,D
-17.69494,138.64314,328.95,1,1,2021-08-13,0102,T,81,6.1NRT,300.77,16.14,D
-17.72861,138.62175,341.77,1,1,2021-08-13,0102,T,90,6.1NRT,301.29,35.51,D
-17.72999,138.63112,349.93,1,1,2021-08-13,0102,T,95,6.1NRT,305.28,49.79,D
-17.73898,138.6297,352.98,1,1,2021-08-13,0102,T,96,6.1NRT,302.91,56.55,D
-17.74036,138.63907,362.54,1,1,2021-08-13,0102,T,100,6.1NRT,306.61,80.19,D
-17.74796,138.6283,333.39,1,1,2021-08-13,0102,T,79,6.1NRT,302.65,21.95,D
-17.74935,138.63766,344.64,1,1,2021-08-13,0102,T,92,6.1NRT,304.49,39.64,D
-19.03627,130.27737,325.94,2.79,1.6,2021-08-13,0102,T,80,6.1NRT,298.41,80.81,D
-19.04124,130.30345,326.42,2.78,1.59,2021-08-13,0102,T,81,6.1NRT,297.14,84.27,D
-19.03811,130.2699,315.68,2.79,1.6,2021-08-13,0102,T,68,6.1NRT,298.02,37.46,D
-19.04327,130.29601,328.72,2.78,1.59,2021-08-13,0102,T,83,6.1NRT,297.2,97.74,D
-20.73953,139.48128,317.18,1.05,1.02,2021-08-13,0102,T,60,6.1NRT,302.43,6.52,D
56.24157,160.91319,305.83,1.04,1.02,2021-08-13,0039,T,32,6.1NRT,293.79,5.51,D
-5.18965,142.32834,311.57,1.02,1.01,2021-08-13,0056,T,60,6.1NRT,296.89,6.16,D
-5.19867,142.327,312.55,1.02,1.01,2021-08-13,0056,T,72,6.1NRT,297.4,6.57,D
-5.49519,143.48141,311.48,1.12,1.05,2021-08-13,0056,T,71,6.1NRT,293.55,10.82,D
-6.20261,146.13005,324.67,1.68,1.27,2021-08-13,0056,T,83,6.1NRT,293.5,34.75,D
-6.21396,146.12817,329.58,1.68,1.27,2021-08-13,0056,T,86,6.1NRT,294.56,47.85,D
-6.62046,145.66855,314.91,1.57,1.24,2021-08-13,0056,T,73,6.1NRT,294.51,18.49,D
-12.59424,142.02151,312.9,1.12,1.05,2021-08-13,0058,T,51,6.1NRT,298.17,10.04,D
